id,winery,wine,year,rating,num_reviews,num_reviews_grp,region,price,type,body,acidity,acidity_level,taste,accomp_meal,category,alcohol_percentage,uds_vino,description
151,"Terroir Al Limit Soc. Lda","Les Manyes",2013,4.3,74,"not important at all",Priorato,348.85,"Priorat Red",4,3,high,dry,,Red,13.5,4,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
152,"Terroir Al Limit Soc. Lda","Les Manyes",2011,4.3,56,"not important at all",Priorato,348.85,"Priorat Red",4,3,high,dry,,Red,13.5,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
153,"Terroir Al Limit Soc. Lda","Les Manyes",2012,4.3,46,"not important at all",Priorato,348.85,"Priorat Red",4,3,high,dry,,Red,13.5,6,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
154,Nin-Ortiz,"Nit de Nin Mas d'en Cacador",2011,4.6,139,"not important at all",Priorato,345,"Priorat Red",4,3,high,dry,,Red,14.5,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
155,"Vega Sicilia","Unico Reserva Especial Edicion",2015,4.8,643,"slightly important","Ribera del Duero",345,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
156,"Vega Sicilia","Unico Reserva Especial Edicion",2011,4.7,131,"not important at all","Ribera del Duero",340.49,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
157,Artadi,"Vina El Pison",2001,4.4,85,"not important at all","Vino de Espana",340,Tempranillo,4,2,medium,dry,,Red,13.5,6,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
158,Artadi,"Vina El Pison",2005,4.6,142,"not important at all","Vino de Espana",325,Tempranillo,4,2,medium,dry,,Red,14,5,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
159,"Vega Sicilia",Unico,2003,4.7,2419,"fairly important","Ribera del Duero",325,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
160,"Vega Sicilia",Unico,2009,4.8,1793,important,"Ribera del Duero",324.95,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
162,"Bodega Contador (Benjamin Romeo)","Contador Rioja",2015,4.6,143,"not important at all",Rioja,319.9,"Rioja Red",4,3,high,dry,,Red,14.95,9,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
163,"Bodega Contador (Benjamin Romeo)","Contador Rioja",2016,4.5,80,"not important at all",Rioja,317.75,"Rioja Red",4,3,high,dry,,Red,15,5,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
164,"Emilio Moro","Clon De La Familia",2010,4.7,127,"not important at all","Ribera del Duero",317.63,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
165,"Emilio Moro","Clon De La Familia",2011,4.6,72,"not important at all","Ribera del Duero",317.63,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
166,"Vega Sicilia",Unico,2011,4.8,630,"slightly important","Ribera del Duero",315,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
167,"Vina Sastre","Pesus Ribera del Duero",2014,4.5,189,"not important at all","Ribera del Duero",315,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,15,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
168,Artadi,"Vina El Pison",2018,4.9,31,"not important at all","Vino de Espana",313.5,Tempranillo,4,2,medium,dry,,Red,14,6,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
169,"Vina Sastre","Pesus Ribera del Duero",2009,4.5,75,"not important at all","Ribera del Duero",312.6,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,15,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
170,"Vega Sicilia","Valbuena 5o",1987,4.5,221,"not important at all","Ribera del Duero",312,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.1,7,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
171,"Marques de Riscal","Rioja Reserva",1964,4.3,29,"not important at all",Rioja,310,"Rioja Red",4,3,high,dry,,Red,12,5,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
172,Artadi,"Vina El Pison",2017,4.6,41,"not important at all","Vino de Espana",304.54,Tempranillo,4,2,medium,dry,,Red,14,2,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
